Lat,Long,Node
46.545111,-87.427002,TRAIL-1
46.535972,-87.428475,TRAIL-2
46.530727,-87.432305,TRAIL-3
46.522939,-87.43726,TRAIL-4
46.516554,-87.444386,TRAIL-5
46.513687,-87.422298,TRAIL-6
46.507771,-87.441524,TRAIL-7
46.521565,-87.419839,TRAIL-8
46.518875,-87.423132,TRAIL-9
46.518067,-87.418985,TRAIL-10
46.510196,-87.408255,TRAIL-11
46.512969,-87.406343,TRAIL-12
46.50908,-87.395311,TRAIL-13
46.517575,-87.400652,TRAIL-14
46.519059,-87.395571,TRAIL-15
46.513229,-87.38722,TRAIL-16
46.571059,-87.435722,TRAIL-17
46.568029,-87.436319,TRAIL-18
46.565954,-87.439851,TRAIL-19
46.565174,-87.443713,TRAIL-20
46.56545,-87.445418,TRAIL-21
46.566886,-87.44556,TRAIL-22
46.56851,-87.451259,TRAIL-23
46.566857,-87.46248,TRAIL-24
46.577393,-87.471239,TRAIL-25
46.57825,-87.471397,TRAIL-26
46.577525,-87.46263,TRAIL-27
46.577332,-87.45057,TRAIL-28
